iter	Passed	Remaining
0	20	10478
1	40	10193
2	59	9916
3	77	9636
4	96	9522
5	113	9346
6	131	9266
7	149	9191
8	167	9118
9	185	9108
10	203	9036
11	221	9003
12	243	9118
13	263	9143
14	282	9127
15	300	9077
16	317	9029
17	335	8993
18	355	9000
19	373	8953
20	391	8930
21	410	8913
22	427	8865
23	446	8862
24	470	8935
25	487	8886
26	504	8840
27	522	8800
28	539	8761
29	556	8725
30	574	8698
31	591	8649
32	608	8614
33	625	8578
34	644	8566
35	666	8590
36	684	8568
37	703	8558
38	720	8515
39	737	8480
40	754	8451
41	771	8410
42	788	8385
43	806	8356
44	823	8324
45	840	8290
46	857	8266
47	878	8273
48	895	8241
49	914	8228
50	934	8231
51	953	8214
52	972	8198
53	988	8165
54	1005	8138
55	1023	8114
56	1040	8089
57	1058	8067
58	1080	8073
59	1099	8065
60	1117	8039
61	1135	8019
62	1153	8002
63	1170	7976
64	1188	7956
65	1205	7927
66	1224	7911
67	1242	7891
68	1259	7866
69	1281	7871
70	1301	7865
71	1319	7845
72	1337	7821
73	1355	7801
74	1372	7777
75	1390	7758
76	1409	7740
77	1430	7741
78	1454	7750
79	1475	7746
80	1496	7741
81	1516	7731
82	1534	7710
83	1552	7688
84	1571	7670
85	1589	7651
86	1607	7628
87	1625	7609
88	1642	7587
89	1660	7566
90	1679	7547
91	1696	7524
92	1720	7529
93	1738	7509
94	1756	7486
95	1773	7463
96	1791	7444
97	1808	7419
98	1826	7396
99	1844	7377
100	1862	7357
101	1881	7340
102	1898	7318
103	1916	7295
104	1936	7285
105	1960	7288
106	1983	7286
107	2001	7265
108	2019	7244
109	2038	7226
110	2054	7201
111	2072	7180
112	2091	7162
113	2108	7140
114	2128	7125
115	2148	7110
116	2166	7093
117	2185	7073
118	2202	7053
119	2221	7035
120	2240	7017
121	2258	6997
122	2274	6972
123	2292	6949
124	2309	6927
125	2327	6908
126	2345	6889
127	2365	6874
128	2385	6859
129	2404	6843
130	2422	6824
131	2440	6803
132	2458	6783
133	2479	6771
134	2495	6747
135	2513	6726
136	2531	6707
137	2549	6686
138	2567	6666
139	2585	6649
140	2603	6628
141	2623	6613
142	2641	6593
143	2659	6575
144	2677	6555
145	2695	6535
146	2713	6515
147	2730	6494
148	2748	6474
149	2767	6458
150	2787	6442
151	2807	6427
152	2826	6409
153	2844	6390
154	2862	6371
155	2878	6348
156	2896	6327
157	2914	6309
158	2932	6288
159	2950	6270
160	2969	6252
161	2990	6239
162	3011	6225
163	3033	6215
164	3052	6197
165	3069	6176
166	3087	6157
167	3105	6136
168	3123	6117
169	3142	6099
170	3158	6076
171	3174	6053
172	3192	6034
173	3209	6013
174	3229	5998
175	3249	5982
176	3268	5963
177	3285	5943
178	3303	5923
179	3320	5902
180	3340	5886
181	3359	5870
182	3384	5863
183	3401	5841
184	3418	5821
185	3444	5814
186	3467	5803
187	3487	5787
188	3507	5771
189	3525	5752
190	3545	5735
191	3563	5715
192	3581	5696
193	3598	5676
194	3617	5657
195	3635	5638
196	3652	5617
197	3673	5602
198	3691	5583
199	3709	5564
200	3727	5544
201	3743	5523
202	3760	5502
203	3777	5481
204	3795	5461
205	3814	5444
206	3831	5423
207	3847	5401
208	3866	5383
209	3885	5365
210	3904	5348
211	3922	5328
212	3941	5310
213	3959	5291
214	3977	5272
215	3994	5252
216	4016	5238
217	4033	5218
218	4052	5199
219	4070	5181
220	4092	5166
221	4108	5144
222	4125	5124
223	4142	5103
224	4158	5082
225	4176	5063
226	4193	5042
227	4211	5023
228	4228	5004
229	4245	4984
230	4264	4966
231	4284	4949
232	4303	4931
233	4321	4912
234	4340	4894
235	4358	4875
236	4378	4858
237	4398	4841
238	4418	4824
239	4437	4807
240	4454	4787
241	4473	4769
242	4492	4751
243	4515	4737
244	4535	4720
245	4552	4700
246	4570	4681
247	4588	4662
248	4606	4643
249	4625	4625
250	4648	4611
251	4670	4596
252	4690	4579
253	4711	4562
254	4732	4547
255	4752	4529
256	4771	4511
257	4791	4494
258	4813	4479
259	4833	4461
260	4853	4444
261	4874	4427
262	4894	4410
263	4913	4392
264	4934	4375
265	4955	4359
266	4977	4343
267	4999	4327
268	5018	4309
269	5040	4293
270	5060	4276
271	5077	4256
272	5096	4237
273	5114	4218
274	5131	4198
275	5149	4179
276	5168	4160
277	5187	4142
278	5206	4124
279	5222	4103
280	5239	4083
281	5257	4064
282	5274	4044
283	5292	4025
284	5309	4005
285	5328	3987
286	5348	3969
287	5366	3950
288	5385	3932
289	5405	3914
290	5424	3895
291	5443	3877
292	5465	3861
293	5484	3843
294	5501	3823
295	5519	3804
296	5538	3785
297	5556	3766
298	5575	3747
299	5598	3732
300	5617	3714
301	5636	3695
302	5654	3676
303	5673	3658
304	5691	3638
305	5708	3619
306	5725	3599
307	5743	3580
308	5761	3561
309	5781	3543
310	5803	3526
311	5821	3507
312	5839	3488
313	5858	3470
314	5877	3452
315	5895	3433
316	5914	3414
317	5933	3395
318	5953	3378
319	5973	3359
320	5991	3340
321	6011	3322
322	6029	3303
323	6050	3286
324	6070	3268
325	6089	3250
326	6108	3231
327	6126	3212
328	6143	3193
329	6161	3174
330	6179	3155
331	6198	3136
332	6221	3119
333	6240	3101
334	6257	3082
335	6278	3064
336	6301	3047
337	6322	3030
338	6340	3011
339	6364	2995
340	6386	2977
341	6406	2959
342	6432	2944
343	6452	2926
344	6471	2907
345	6492	2889
346	6523	2876
347	6545	2859
348	6564	2840
349	6582	2821
350	6600	2802
351	6621	2783
352	6641	2765
353	6661	2747
354	6679	2728
355	6697	2709
356	6716	2690
357	6736	2672
358	6757	2654
359	6778	2635
360	6798	2617
361	6816	2598
362	6839	2581
363	6861	2563
364	6879	2544
365	6899	2525
366	6918	2507
367	6938	2488
368	6956	2469
369	6975	2450
370	6992	2431
371	7009	2411
372	7027	2392
373	7043	2372
374	7063	2354
375	7083	2336
376	7104	2317
377	7123	2299
378	7143	2280
379	7164	2262
380	7185	2244
381	7208	2226
382	7228	2208
383	7249	2189
384	7271	2171
385	7291	2153
386	7312	2135
387	7332	2116
388	7350	2097
389	7369	2078
390	7386	2059
391	7404	2040
392	7423	2021
393	7441	2002
394	7464	1984
395	7491	1967
396	7513	1949
397	7536	1931
398	7556	1912
399	7579	1894
400	7596	1875
401	7614	1856
402	7632	1837
403	7651	1818
404	7672	1799
405	7689	1780
406	7708	1761
407	7728	1742
408	7750	1724
409	7773	1706
410	7793	1687
411	7818	1669
412	7839	1651
413	7860	1632
414	7884	1614
415	7906	1596
416	7927	1577
417	7948	1559
418	7968	1540
419	7987	1521
420	8007	1502
421	8025	1483
422	8043	1464
423	8060	1444
424	8082	1426
425	8104	1407
426	8131	1390
427	8156	1372
428	8178	1353
429	8199	1334
430	8218	1315
431	8236	1296
432	8254	1277
433	8271	1257
434	8288	1238
435	8307	1219
436	8324	1200
437	8342	1180
438	8361	1161
439	8381	1142
440	8400	1123
441	8417	1104
442	8435	1085
443	8453	1066
444	8472	1047
445	8492	1028
446	8509	1008
447	8529	990
448	8548	970
449	8566	951
450	8585	932
451	8607	914
452	8625	894
453	8644	875
454	8663	856
455	8683	837
456	8704	819
457	8725	800
458	8744	781
459	8765	762
460	8790	743
461	8811	724
462	8831	705
463	8852	686
464	8874	667
465	8896	649
466	8918	630
467	8942	611
468	8963	592
469	8987	573
470	9010	554
471	9030	535
472	9056	516
473	9078	497
474	9102	479
475	9124	460
476	9146	441
477	9173	422
478	9194	403
479	9217	384
480	9240	365
481	9261	345
482	9281	326
483	9300	307
484	9318	288
485	9337	268
486	9354	249
487	9372	230
488	9390	211
489	9409	192
490	9428	172
491	9448	153
492	9467	134
493	9489	115
494	9515	96
495	9534	76
496	9551	57
497	9571	38
498	9591	19
499	9610	0
